ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
,,,,,,,,,,,,,,,,gnarled,"מסוקס, מחוספס, בעל בליטות",insubordination,"מרדנות, אי ציות",,,,,,
morbidly,באופן חולני,emancipation,"שחרור, שוויון זכויות",stagnant,"עומד, קפוא",expend,"לבזבז, להוציא",,,chatter,"לברבר, לפטפט, פטפוט",shrewdly,"בפיקחות, באופן שנון",cornerstone,אבן פינה,hurdle,1.משוכה 2.קושי,abomination,"נבלה, תועבה",legitimate,"לגיטימי, חוקי",irredeemably,לא ניתן לתיקון,,
ardors,"התלהבות, להט",craftsmanship,אומנות,rear,"אחורי, עורף",expand,להתרחב,exasperate,להרגיז,cherish,להוקיר,shrewdness,"פיקחות, שנינות",cupboard,"ארון, מזנון",ignite,"להצית, להדליק",polymath,"מלומד, משכיל",conspicuous,בולט לעין,ramshackle,"רעוע, מתפרק",,
malignant,"זדוני, מרושע",embroidery,"רקמה, קישוט, עיתור",lay-offs,"פיטור, הפסקה",redundant,מיותר,collar,"קולר, צווארון",cheek,1.לחי 2. חוצפה,shriek,"לצרוח, צווחה",curtain,"וילון, מסך",immediacy,"דחיפות, מיידות",desertification,מידבור (הפיכת אזור יבש),inestimable ,"שאין להעריכו, אין שיעור (מרוב שהוא טוב)",hijacked,"נחטף, השתלטו עליו בכוח",,
febrile,קודח מחום,intricate,"מסובך, מורכב",loomed,"הגיח, הופיע",enlist,לגייס,decent,"מכובד, הגון",cheeky,חצוף,sinister,"1.רשע, זדוני 2.מבשר רעות",doll,בובת צעצוע,,,entail,"1.גרר, הוביל 2.חייב, צריך",vendor ,מוכר,Crucially,"מכריע, קריטי",,
tuberculous,שחפת,artisanal,ששייך או קשור לעבדתו של אומן,termination,"סיום, פטירה",ostentatious,ראוותני,disfigured,השחית,chew,"לעס, ללעוס",sink,"1.לשקוע, לטבוע 2.כיור",fatal,1.קטלני 2.גורלי,impending,עומד להתרחש,allege,"1.טען, הצהיר 2.האשים", monsoon,רוחות וגשמים עונתיים עזים,enquiry,"בירור, חקירה",,
relish,"עונג, הנאה",equate,1. להשוות 2. להתאים,node,"קשר, צומת",arise,"להתעורר, לנבוע",articulated,"מבוטא, היטב",chilly,"צונן, קריר",skimp,1.להתקמצן 2.להצטמצם,genie,שד,impenetrable,"אטום, לא ניתן לחדירה",havoc,"הרס, חורבן", nor,גם לא,astray,"לסטות מהדרך, לתעות ",,
asunder,להתנתק,conceding,11. הודה 2. ויתר,militant,בעל אופי לוחמני,stimulus,גירוי,smuggled,הבריח,combustion,"בעירה, דליקה",slack,"1.להדלדל 2.להתרשל 3.רפוי, רשלני",ink,דיו,imperative,"1.הכרחי, חיוני 2.חובה עקב ציווי",amphibian,דו חיים,hindrance,מכשול,vice,"1.סגן 2.חטא, הרגל מגונה",,
,,,,,,,,,,,,,,,,,,stand-still,"נעצר, עמד ללא ניע",,,,,,
burst,"התפרץ, התפוצץ, בקע",lure,"פיתיון, פיתוי",sluggish,"עצל, אדיש, נרפה",repudiate,"להכחיש, להתנער מאחריות",mosaic,פסיפס,commentary,"פירוש, פרשנות",slander,"1.להכפיש, להשמיץ 2.הכפשה, השמצה",insert,"להכניס, לשבץ",,,hump,"דבובשת, חטוטרת",progeny,צאצאים,vigilance,"ערנות, דריכות",,
envisages,"חזה, דימיין בנפשו",expelled,"גירש, הרחיק, הוציא",ape,קוף אדם,frivolous,"קל דעת, טיפשי",commotion,"המולה, מהומה",commodity,"מצרך, סחורה",slope,"1.להטות 2.מדרון, שיפוע",lay,1.לשכב 2.להניח ,imperfection,"פגם, חוסר שלמות",pleasantly,באופן נעים,shred,"לקרוע, לגזור לגזרים",infamous,ידוע לשמצה,,
engulf,"השקיע, הטביע",monetize,הפך משהו למקור רווח,quadruped,הולך על 4,occasion,"מאורע, אירוע",succumbed,"נכנע, מת",component,"מרכיב, רכיב",smother,"1.חנק, החניק 2.דיכא",layer,שכבה,imperial,קיסרי,rationally,רציונלי,dazzling,"הסתנוורות, סינוור",equanimous,"רגוע, שליו",,
dubbed,כינה (נתן לו שם),leveraging,"מינוף, מינף",hyena,צבוע (בעל חיים),several,"אחדים, כמה",transgressed,"עבר, הפר",compress,"לדחוס, ",snout,"1.אף, חוטם 2.זרבובית 3.חרטום",layout,"מערך, סידור",implement,"1.ליישם, להוציא לפועל 2.כלי, מכשיר",detection,"חשיפה, גילוי, איתור",custardy,פודינג,pierce,"לנקב, לחורר",,
outlandish,"מוזר, חריג",necessities,"צרכים, נחיציות",scrap,"השליך, זרק",precede,"להקדים, תקדים",commenced,התחיל,condense,"לעבות, לרכז",soil,"1.ללכלך 2.אדמה, קרקע",mud,"בוץ, אדמה רטובה",implore,"להתחנן, להפציר",hyena,צבוע ,simmered,"התבשל, רתח",scrupulous,1.מוסרי 2.דקדקן,,
conjoin,"איחד, התאחד",onlooker,"משקיף, צופה",throb,"פעם, הלם",exhibit,"להציג, מוצג",commanded,לפקוד (פקודה),condensation,התעבות,solemn,1.רציני 2.מעורר כבוד ,odor,"ריח, ארומה",imprint,"חותם, סימן",presides over,יושב ראש,bowel,מעי,fastened,"מהודק, קשור",,
mild,"מתון, עדין",quotas,"מכסה, כמות קצובה",rummage,"נבר, חיטט",obscure,"מעורפל, מוזר",detected,לזהות,construct,"לבנות, להקים",,,old-fashined,"מיושן, שאינו אופנתי",improperly,שלא כראוי,looks into,"בדק, בחן",gnawing,"כרסום, כסיסה",bequeathed,הוריש,,
,,,,,,,,,,,,,,,,,,,,,,,,,
benign,"שפיר, בלתי מזיק",abyss,"1. תהום, מעמקים 2. שאול",hoist,"הרים, הניף",confines,גבולות,deceptive,מטעה,context,"קונקסט, הקשר",somber,עצוב,parade,מצעד,improvise,לאלתר,takes after,"לרשת תכונות מ-, להדימות ל-",rudimentary,"ראשוני, הקדום ביותר",banquets,"משתאות, חגיגות",,
stupor,ערפול חושים,gripper,"תפסנית, מכשיר שמסוגל לתפוס",steep,תלול,awe inspiring,מעורר יראת כבוד,blush,מסמיק,conclude,"1.להסיק 2. להסתיים, לסיים",sooth,"להרגיע, לשכך",pearl,פנינה,inanimate,דומם,revise,"תיקן, שיפר",unifying,"להאחיד, לאחד",crane,1.מנוף 2.למתוח,,
turmoil,מהומה,hound,"רדף, צד",lorry,משאית,thrive,לשגשג,trim,לגזום,confer,"1.להתייעץ 2.להעניק, לתת",soothing,"מרגיע, משכך",plumber,שרברב,,,dichromacy,עיוורון צבעים,thereof,"מזה, מכך",cradle,1.עריסה 2.ערש התרבות (מאיפה שתרבות מתפתחת),,
midst,אמצע,margin,"גבול, שוליים",sludgy,"רפש, משקע, בוץ",administrative,ניהולי,trace,לעקוב,contagious,מדבק,,,rag,"סחבה, סמרטוט",inception,התחלה,subatomic,תת אטומי,abnormality,"חריגות, אי נורמליות",indexed,"מפתח, מדד",,
repugnance,סלידה,testament,"עדות, ראייה, הוכחה",rev,"הסתובב, סובב",hitherto,"עד כה, נכון לעכשיו",reflection,"הרהור, מחשבה",contemplate,"להרהר, לשקול",sore,"1.דלקת, פצע 2.עניין כאוב",recipient,נמען,incidence,שכיחות,adjacent,"סמוך, קרוב",broadest,הרחב ביותר,overrule,"לבטל, לדחות",,
unprecedented,חסר תקדים,fortified,1. מבוצר 2.  מחוזק,grumble,"רטן, התלונן",modify,"לתקן, לשנות",repetition,חזרה,converse,"לשוחח, שיחה",reprove,"לנזוף, לגעור",reflect,"1.לשקף 2.להרהר, לחשוב",incognito,"ללא שם, אנונימי",controversy,"מחלוקת, ויכוח",inclusive,כולל,deflate,להוציא אוויר,,
surfeit,כמות שהיא גדולה מדי או מספיקה,feces,צואה,cassette,"קלטת, קסטה",skimp,להתקמצן,restriction,הגבלה,cough,"להשתעל, שיעול",dull,"לאבד מהחדות, בהירות או עניין ",replica,העתק מדויק,incompetent,"חסר יכולת, לא יכול",dielectric,חומר מבודד,firmly,"בתוקף, בהחלטיות",audacious,נועז,,
,,,,,,,,,,,,,,,,incense,1.קטורת 2.להכעיס,browing,השחים,,,,,,
Complementary,משלים,kiosk,"קיוסק, דוכן למכירת משקאות",peg,"חיזק, הידק",avaricious,"קמצן, כילי",exported,מיוצא,council,מועצה,repudiate,"להתכחש, לדחות",reservation,1.הזמנה מראש 2.הסתייגות,,,caramelization,הפך לקרמל,strata,"רבדים, שכבות",clasps,לופת,,
galvanized,"דירבן, עודד לפעולה",asylum,מקלט,dense,צפוף,roam,לשוטט,,,curtain,"וילון, מסך",retract,"לחזור בו, להימלך בדעתו",resume,"1.להמשיך, להתקדם 2.להתחיל מחדש 3.קורות חיים",incorporate,"לשלב, לאגד, לאחד",,,entrench,"התחפר, התבצר",protruded,"בלט, הזדקר",,
ebullient,"משולהב, נלהב",deportations,"גירוש, הגלייה",insignia,"סמל, עיטור",shrewdly,"בפיקחות, בחוכמה ",stacked,נערם,curious,"מסקר,  מעורר סקרנות",litter,אשפה,rotate,לסובב,incur,"להביא על עצמו (משהו שלילי), לשאת בעול המעשים שלי",intrusive,חודרני,chauvinisim,שובניסטיות,recuperated,החלים,,
poise,"נינוחות, קור רוח",surge,"1.גל, נחשול 2. עליה פתאומית",repugnant,"סותר, נוגד",defiant,סרבן,pitched,1. נזרק 2. הוצע,calamity,אסון,implied,מרומז,rust,"להחליד, חלודה",,,ravine,"גיא, עמק",tight,"הדוק, צמוד",sips,"לגימות, ללגום",,
relinquishing,וויתר,downturn,"שפל, ירידה בפעילות עסקית",hardware,"חומרה, כלי מתכת",azure,תכלת,forged,נוצרו,cap,1.פקק 2.כובע,harness,"לרתום, לנצל",,,indignant,"מתרעם, ממורמר",nimble,"1.זריז, מהיר 2.שנון",fortress,"מצודה, מבצר",commemorates,"מנציח, מזכיר",,
impetuosity,"פזיזות, נמהרות",sewage,"שפכים, ביוב",dam,"חסם, סכר",dispensable,"לא הכרחי, שניתן להסתדר בלעדיו",lend,להשאיל,carcass,"גופה, פגר",affirate,שותף,sheet,"1.גיליון, דף בודד 2.יריעה, סדין",indispensible,"הכרחי, שלא ניתן לוותר עליו",chamois,יעלים,vacant,ריק,Intricate,"מורכב, מסובך",,
repartee,תשובה שנונה,petals,עלה כותרת,shell,"1.קילף, פיצח 2. הפגיז",by all means,בהחלט,apparent,לכאורה,cargo,"מטען, משא",scrape,"1.לגרד, לקרצף 2.שפשוף, שריטה",slash,"לחתוך, לקצוץ",induce,"להשפיע, לגרום",mortal,"1.בן תמותה 2.חריף, חמור",pious,"דתי, אדוק",grievances,"טרונייה, קובלנות",,
,,,,,,,,,,,,,,,,imperceptible,בלתי אפשרי להרגיש אותו,ooze,"1.נזילה 2.בוץ, רפש",,,,,,
spunk,"אומץ לב, נועזות",flagship,"הדבר המובחר, ממעלה ראשונה",sequester,"החרים, הפקיע",situate,למקם,extravagance,1. התרברבות 2. פזרנות,cease,להפסיק,shiver,"1.רעד, צמרמורת 2.רסיס 3.ריסק",sleeve,שרוול,inept,בלתי מיומן,chink,"1.סדק, חרך 2.צלצול",stocky,גוץ,emulate,לחקות,,
levity,קלות ראש,speculate,"שער, סבר",cub,1.גור (בעל חיים) 2.טירון,distribute,"להפיץ, לחלק",exploitation,ניצול,cede,לוותר על (משהו),spare,"1.נוסף, רזרבי 2.לוותר על, לחוס 3.זעום, דל",temple,מקדש,inexpensive,זול,pamper,לפנק,,,ajar,פתוח במקצת (דלת או חלון שלא סגורים לגמר),,
valor,"אומץ, גבורה",calf,הצעיר בעדר של בעלי חיים,moat,"תעלת מגן, חפיר",attorney,עורך דין,deposited,הופקד,cellar,"לאחסן במרתף, מרתף",sparse,"דליל, מפוזר",tent,אוהל,infest,"לשרוץ, לרחוש ",dexterity,מיומנות,augmenting,"להגדיל, להרחיב",exerted,"הפעיל, התאמץ",,
eradicated,"נמחק, גמור",clerical,"פקידתי, עבודה משרדית",dunk,"טבל, להטביע",candid,"כן, גלוי לב",parcel,חבילה,cement,"להדביק, דבק, מלט",spark,"להצית, ניצוץ",violin,כינור,infidelity,"בגידה, כפירה",lookout,1.תצפית 2.דאגה ,canteen,מימייה,reimburse,"לפצות, להחזיר כסף",,
disinhibition,לא יכול להתאפק,tarmac,מסלול המראה,murky,"קודר, חשוך",allowance,"דמי כיס, קצבה",relapses,חזר לסורו,chalice,גביע,specimen,"דגימה, דוגמה",widow,אלמנה,influx,"זרם, שטף",outgrown,1.התפתח במהירות 2.נגמל מדפוס התנהגות,peril,"סכנה, סיכון",shattered,"מנופץ, הרוס",,
trapezoid,טרפז,fasten,"הידק, חיזק, כיפתר",jeopardy,סכנה,branch,ענף,facades,העמדת פנים,chant,"לזמר, מזמור",spectacle,מחזה יוצא דופן,abbey,מנזר,infrastructure,תשתית,groove,1.חרץ 2.מנהג,taunt,"להתגרות, לגדף",imprisonment,"מאסר, כליאה",,
lozenge,מעוין,archipelago,קבוצת איים קטנה,derail,הוריד מהפסים,nobility,"אצולה, אצילות",grievances,עוולות,cherish,"להוקיר, לנצור לטובה",spite,"1.להרגיז, לעצבן 2.רוע לב",absence,"לספוג, לקלוט",inhabit,"לאכלס, לגור",flinch,"נרתע, התכווץ",crane,מנוף,,,,
,,,,,,,,counterparts,"מקבילהם, עמיתים",choir,מקהלה,splendid,"מצויין, מדהים",accountant,רואה חשבון,inherent,"טבוע, טבעי",predicament,מצב קשה או מביך,inducing,"מעורר, משפיע על",blunders,"טעויות חמורות, פאשלות",,
foliage,עלים,permafrost,שכבת קרקע שקפואה תמיד,insidious,"חתרני, בוגדני",serene,רגוע,,,,,,,,,immerse,"להטביל, להשקיע",convened,"התכנס, כינס",gauge,"מד, למדוד",Tapestry,1.שטיח קיר 2.תמונת מצב מורכבת,,
knot,קשר,invasive,"פולשני, חודר",phishing,השגה במרמה מידע בעל ערך,hospitable,מסביר פנים,backward,אחורה,chore,"מטלה (לא נעימה), משימה",stagnant,"חסר תנועה, קפוא",admission,"1.קבלה, כניסה 2.הודאה",inherit,לרשת (לקבל בירושה),retreat into,נסיגה לתוך,venturing,להעז,went beyond,"עבר מ, חרג",,
ripe,"1. בשל  2. מפותח, בוגר",forester,יערן (מומחה בטיפול עצי יער),aggravated,חמור,interpret,"לפרש, לתרגם",overgrown,גדל יתר על המידה,chuckle,"לגחך, לצחקק",,,adolescent,מתבגר,inhibit,"לעכב, למנוע",diverting,1.משעשע 2.מסיח את הדעת,perishing,"לכלות, להשמיד",Impeccable,"ללא דופי, מושלם",,
alliance,"ברית, התקשרות",concussion,זעזוע מוח,conflated,התמזגו,eulogize,לפאר ולשבח,outdated,מיושן,cite,לצטט,stamp,"1.לדרוך, לרמוס 2.לבייל, בול",anyhow,"בכל מקרה, בכל אופן",inland,"יבשה, פנים הארץ",intestine,מעי,soared,"נסק, לעוף",Nuanced,"מעודן, רגיש לפרטים",,
incentive,"תמריץ, עידוד",cluster,"מקבץ, אוסף, אשכול",layered,"רבוד, מרובד",furnish,לרהט,vocation,"שליחות, משלחת",coarse,"גס, מחוספס",startle,"הבהיל, החריד",arise,"להתעורר, להופיע",insofar,ככל ש-,sanitized,"חיטא, עיקר",limped,"לצלוע, לדדות",transmit,"להעביר, לשדר",,
submerge,"השקיע, שיקע",detain,"עיכב, עצר, כלא",illicit,לא חוקי,fiasco,כישלון חרוץ,omen,סימן,coax,"לשדל, לפתות",stature,"גובה, שיעור קומה",ark,תיבה,instance,"דוגמה, מקרה",scrumptious,"1.טעים 2.מעולה, מצוין",reenacting,"לשחזר, שחזור",trampled,"רמס, דרך על",,
surpass,עלה על (מלשון עקיף),cumbersome,"מכביד, מעיק, מסורבל",repository,"מקום אחסון, מאגר",instigate,להסית,excavate,לחפור (במטרה לגלות עתיקות),coerce,"לאלץ, להכריח",steer,1.נהג 2.הכווין,ash,אפר,instant,1.רגע 2.מיידי,elusive,1.חמקמק 2.שנשמט מזיכרונו,perpetuate,"להנציח, לדאוג שיזכרו",implicit ,"מרומז, משתמע",,
,,,,,,,,,,,,,,,,,,,,,,,,,
suppress,דיכא,immersive,"סוחף, מושך מאזינים וקהל",concealment,הסתרה,stagger,להתנודד,inaugurate,לחנוך,coercion,"אילוץ, כפייה",stenographer,קצרן,avert,"להסיט, להזיז",instigate,"להסית, להמריץ, לדרבן",veal,בשר עגל,sap,להוציא מוהל מעץ,entail,"כרוך ב, דרוש",,
bequeath,"הוריש, הנחיל",iris,1. רשתית 2. אירוס,namely,כלומר,consciously,במודע,bowl over,להיות מאוד מופתע,cohesive,"מגובש, מלוכד",strain,"1.להתאמץ 2.נמתח (שריר) 3.מנגינה, לחן",await,להמתין,insulate,"לבודד, להפריד",exploit,"ניצל, מיצה",moth,עש,terminal,"סופני, קיצוני",,
confiscate,החרים,eradicate,"מיגר, עקר מן השורש",taunt,הקנטה,prejudicial,גזעני,abominable,"מזעזע, נתעב",cohesiveness,לכידות,stratum,"שכבה, רובד",backing,1.גיבוי 2.ליווי מוזיקלי,intact,שלם,intriguing,"מרתק, מעניין",daring,"נועז, חלוצי", Until this matter,עד שהעניין הזה,,
embellish,"ייפה, קישט",additive,תוסף,crane,מנוף,wail,"בכי, זעקה, לילל",admonish,1.להזהיר 2.לנזוף,coherent,"קוהרנטי, הגיוני",stray,"לסטות, לתעות",bait,פיתיון,intake,"קליטה, צריכה",cut out,להחסיר,winding,"מתפתל, התפתלות",comatose,"תרדמת, חסר הכרה",,
fluctuate,התנדנד,concrete,בטון,gauge,"אומדן, מודד",assertion,טענה תקיפה,inflame,"להסית, לשלהב",commiserate,להשתתף בצער,strenuous,"מאומץ, כרוך במאמץ רב",battlefront,חזית הקרב,interference,"הפרעה, התערבות",perspiration,הזעה,peg,"יתד, וו",Competence,"יכולת, כשירות",,
bondage,"עבדות, שעבוד",concert,קונצרט,blaze,"דלקה, שריפה גדולה",endeavor,"להתאמץ, ניסיון, מאמץ",humdrum,"שיגרתי, משעמם",commission,"1.עמלה 2. ועדה, נציגות",stride,"לפסוד, לצעוד",bay,מפרץ,interject,"להתערב בשיחה, להפריע בשיחה",scrape,"1.גירוד, קרצוף 2.הסתבכות, מצב קשה",affinity,"זיקה, קירבה",intravenous,תוך ורידי,,
sobriety,צלילות דעת (לא שיכור - פיקח),disproportionate,"לא הולם, לא מתאים",matruachal,שנשלט על ידי נשים,culminate,להגיע לשיא,recur,"לקרות שוב, להישנות",commonplace,"רגיל, שגרתי",strife,"מאבק, סכסוך, ריב",bicultural,דו תרבותי,intermit,להפסיק זמנית,taunt,"הקניט, לעג",fortitude,"אומץ לב, גבורה",divulge,לגלות סוד,,
,,,,,,,,,,,,,,,,,,,,,,,,,
evanescent,"חולף, אירעי, זמני",scoffed,"לעג, בז",perishing,נהרס,engage,"להעסיק, למשוך",aristocrat,אציל,commotion,"המולה, מהומה",stroll,לטייל בנחת,secretary,מזכירה,interpersonal,בין אנושי,glide,"1.גלש, החליק 2.דאה",aptitude,1.כישרון 2.חריצות,intrusions,"התערבות, חדירה ",,
raved,השתולל,disrupt,"שיבש, הפריע",projecting,מקרין,afflict,לייסר,ignominy,"קלון, השפלה",commute,נסיעה יומיומית לעבודה,stun,"לזעזע, שוק",booth,תא,intersection,"הצטלבות, צומת",rash,פריחה,disparity,"שוני, נבדלות",caregivers,מטפלים,,
boil,"הרתיח, רתח",potent,"רב עוצמה, חזק",reclining,נשען,idle,"בטלן, חסר מעש",indignity,השפלה,compassion,"חמלה, רחמים",subdue,"1.לדכא, להחליש 2.לעדן, לרכך",branding,מיתוג,intricate,"מורכב, מרובה פרטים",pledge,"הבטיח, התחייב",mount,"1.רכב, עלה 2.טיפס, העפיל 3.תכנן, אירגן 4.הרכיב, התקין",designated,"מיועד, מוגדר",,
inmost,"הפנימי ביותר, אינטימי,  פרטי",convergence,"התכנסות, התלכדות",soared,"עלתה, האמרה, נסקה",breadth,רוחב,blithe,1.קליל 2.לא מתחשב,compel,"לאלץ, להכריח",submerge,1.לדכא 2.לצלול 3.להצניע,bury,לקבור,intrigue,"1.קנוניה, תככים 2.לסקרן, לעורר עניין",menace,"איום, סכנה",prevalent,"נפוץ, שכיח",forthcoming,"הבא, מתממש ובא",,
verbosity,להכביר במילים,advert,1.התייחס ל_ 2. מודעה,limped,צלעה,detection,"איתור, בילוש",delude,"להשלות, להוליך שולל",competence,יכולת,submissive,"כנוע, מקבל מרות",byproduct,תוצר לוואי,intrinsic,1.מהותי 2.פנימי,wither,"1.נבל, קמל 2.נחלש, דעך",dread,"אימה, פחד",Contraception,מניעת היריון,,
riot,"1. מהומה, התפרעות 2. כינוי למישהו מצחיק מאוד",pressing,"דחוף, בוער, דחוק",pounced,הסתערה,immense,עצום,exhilarate,"לשמח, לרומם רוחו",complacent,שאנן,subordinate,1.להוריד בדרגה 2.משני,carpenter,נגר,inverse,"הפוך, נגדי",clasp,"1.אבזם 2.לחיצה, אחיזה",,,neonates,"ילודים, תינוק בשבועות הראשונים",,
yawn,"1. פיהק 2. נפתח, נפער",pledged,"הבטיח, התחייב",drifted,נסחפה,diffusion,תערובת,forsake,"לנטוש, לזנוח",complement,"להשלים, משלים",subtle,"1.דק, עדין 2.שנון, מתוחכם",carve,1.לגלף 2.לפרוס,invert,"להפוך, הפוך",concentrated,1.מרוכז 2.התרכז ,recuperate,"להבריא, להחלים",advisability,"כדאיות, מומלצות",,
,,,,,,,,,,,,,,,,indeterminate,"לא מוגדר, לא ידוע",,,,,,,,
confabulation,"1. שיחה בין אנשים 2. בדוי, לא אמיתי",coverage,"סיקור, כיסוי",bridges,מגשר,deducible,ניתן להקשה,merriment,"עליזות, צהלה",compliance,"היענות, התרצות",subside,"1.לשכוך, להיחלש 2.להתמוטט,",certainly,"בהחלט, ללא ספק",irradiate,"להקרין, קרני אור",,,trait,"תכונה, מאפיין",curative,"מטפל, מרפא",,
jabbering,קשקש (דיבר בצורה מהירה ולא מובנת),wager,"התערב, הימר",conditionally,בתנאי ש,creep,"לזחול, להתגנב",indisposed,לא חש בטוב,comply,"להסכים, לציית",summon,"1.לזמן, לקרוא 2.לכנס",chant,"לשיר, לזמר",irregularity,אי סדירות,standstill,"קיפאון, מבוי סתום",confidential,סודי,senior,"1.בכיר, בעל דרגה גבוהה 2.זקן",,
dumbfounded,"נדהם, המום",tin,"פח, פחית",sinking,שוקע,negligence,רשלנות,mystify,להוות תעלומה,compulsory,שהוא חובה,superfluous,"מיותר, עודף",clamp,1.להדק 2.מלחציים,irrespective,"ללא קשר, מבלי להתייחס ל",staple,1.סיכה 2.מרכיב מרכזי,deceit,"תרמית, הונאה",,,,
avail,"הועיל, סייע, עזר",bettor,מהמר,daring,"חלוצי, נועז",demented,משוגע,broody,מהורהר,concede,"להודות, להתוודות",supermacy,עליונות,clerk,1.פקיד 2.כומר,irreversible,בלתי הפיך,particular,מסוים,decency,הגינות,initiate,"ליזום, להתחיל",,
strand,רצועה,utilised,מנוצל,winding,"מתפתל, מלפף",de facto,הלכה למעשה,abashed,"נבוך, מבוייש",concession,"ויתור, כניעה",supreme,"נעלה, עליון",commentary,פרשנות,jeopardize,לסכן,drain,"1.ניקז 2.רוקן, התרוקן",inspection,"בדיקה, פיקוח",criteria,"קריטריונים, אמות מידה",,
effervescent,"מלא שמחת חיים, תוסס",makeshift,תחליף,peg,יתד,compulsion,כפייה,swoon,"להתעלף, עילפון",conceited,"יהיר, רברבן",surge,"לגאות, להעלות פתאום",commerce,מסחר,,,proposition,"טענה, תאורמה",literal,"מילולי, כפשוטו",paramount,"עליון, בעל חשיבות עליונה",,
,,,,plea,"טענה, עתירה",assign,"למנות, לשים מישהו בתפקיד",fabricate,"לבדות, להמציא",conceive,"1.להעלות על הדעת, להרהר 2. להיכנס להיריון",surpass,"להצטיין, להתעלות על",concrete,1.בטון 2.מוצק,,,plow,מחרשה,epilogue,"אפילוג, אחרית הדבר",discernment,"הבחנה, שיקול דעת",,
,,,,,,,,,,,,,,,,incontestable,"ללא עוררין, ללא ספק",,,,,,,,
frantic,"משוגע, מטורף",stray,"תועה, מקרי, פזור",fortitude,אומץ,diffuse,מפוזר,endow,"לתרום, להעניק",concise,תמציתי,surplus,"יתר, מיותר",consent,"להסכים, הסכמה",jubilant,"צוהל, שומח",trek,טיול רגלי,ruthless,"חסר רחמים, אכזרי",restrictive,מגביל,,
abdicate,"ויתר על כס המלכות, התפטר",mitigate,"הקל, מיתק, מיתן",aptitude,נטייה טבעית,scrutinize,"לבדוק, לחקור",idyll,תקופת זמן מושלמת,concur,"להסכים, לשתף פעולה",suture,"לתפור, תפר",crawl,"לזחול, זחילה",lace,"1.לשרוך, שרוך 2.תחרה",teem,"שפע, שרץ",zodiac,גלגל המזלות,remuneration,"1.פיצוי, גמול 2.תשלום",,
subside,"1. נרגע, נשקט 2. לשקוע",transition,"1.מעבר, שינוי 2. תקופת מעבר",presume,"סבר, הניח",reconciliation,פיוס,absentminded,"מפוזר, פזור דעת",concurrence,הסכמה כוללת,swamp,"להציף, ביצה",dam,סכר,,,infatuation,התאהבות,net,רשת,rationed,"הקציב, חילק",,
pun,משחק מילים,cramped,"סגור, מכווץ, מוגבל",reap,"לקצור, לאסוף",assembly,הרכבה,foretell,לנבא,concurrent,מתרחש בו זמנית,sway,1.להתנודד 2.שליטה,dart,1.חץ 2.לזנק,laxness,ריפיון,obscure,1.מעורפל 2.חסר חשיבות,barrack,1.מגורי חיילים 2.לצעוק ולצחוק בגסות,tuberculosis,שחפת,,
Possessed,אחוז דיבוק,composite,"1. תרכובת, צירוף 2. קלסתרון",raid,לפשוט (פשיטה),dwindle,"לקטון, להתמעט",disenchanted,"מאוכזב, שהתפכח מאשליה",condemn,"להרשיע, לגנות",swear,1.להישבע 2.לקלל,dean,דיקן,lay,1.להניח 2.להשכיב 3.להטיל (לדוגמה ביצים),fiscal,"כספי, שקשור להכנסות של המדינה",conclusive,"מכריע, סופי",encroachment,"הסגת גבול, חדירה ",,
frenzied,"משוגע, מטורף",intravenous ,תוך ורידי,Hoax,"מתיחה, תעלול",kernel,גרעין,atdor,"להט, התלהבות",condemnation,"הרשעה, גינוי",sweep,"1.לטאטא , לסחוף 2.ניצחון גורף",,,lineage,שושלת יוחסין,abbey,"מנזר, כנסיה",imminent,עומד להתרחש,randomized,מאורגן בסדר אקראי,,
florid,1. אדמדם 2. פרחוני,interim,תקופת ביניים,clandestine,"חשאי, סודי",contention,מחלוקת,truculence,"עצבנות, נטייה לתקופנות",condescending,"להתייהר, להתנשא",swift,"במהירות, מהיר",deputy,סגן,linger,להשתהות,endow,"העניק, תרם",heartfelt,"כן, גלוי לב",restorative,"משקם, מבריא",,
,,,,,,,,,,,,,,,,jolt,"1.לטלטל, טלטול 2.להקפיץ 3.הלם",,,,,,,,
spur,"לעודד, לדרבן",influx,"זרם, שטף",proclivity,נטייה ,campaign,קמפיין,afflict,"לייסר, לגרום לסבל",condone,"לחנון, למחול",synonym,מילה נרדפת,detect,"לגלות, לזהות, להבחין",linguistic,לשוני,ingenuity,"1.תבונה, פיקחות 2.תושיה",provisional,"זמני, ארעי",integrate,"שילב, מיזג",,
pallid,"חיוור, תשוש",dignified,מכובד,espionage,ביון,distracted,מפוזר,plaintive,"עגמומי, עצוב",confine,"להגביל, לתחום",solicit,"1.לפתות, לשדל 2.להפציר, להתחנן",detour,"מעקף, דרך עוקפת",litigate,לטעון ולהתדיין בבית משפט,volatile,"1.נדיף 2.בלתי יציב, הפכפך",mild,"מתון, עדין",vest,"1.העניק זכויות 2.לבש, הלביש",,
