ng	מסגד
dweller	תושב
bestow	להעניק
fractured	שבור
nondescript	חסר ייחוד
clot	להתקרש 2.קריש דם
brevity	קיצור
endemic	מקומי
impreganble	בלתי מנוצח
novice	טירון
indispose	להחלות 2.לפגוע בתקינות
dye	לצבוע
livelihood	פרנסה 2.חיים
chasten	לחנך
puny	חלש 2. חסר ערך
to date	עד כה
nucleus	גרעין
pore	נקבובית 2.לשקוע
To and fro	הלוך חזור fro- בחזרה
faculties	כישורים
supper	ארוחת ערב
reinstate	להחזיר למעמדו
duly	כראוי
accompanied	מלווה על ידי משהו או מישהו
limp	לצלוע
thrived	שיגשג
compact	קטן
narrate	לספר
accustomed	מורגל
celibacy	פרישות
disciples	תלמידים
assess	להעריך
emerge	מופיע
friction	חיכוך
eerily	באופן מפחיד
negate	לשלול
agility	זריזות
punctual	דייקן
cot	מיטת תינוק
blush	להסמיק
nerve	אומץ לב
allure	קסם
attic	עליית גג
forgo	לוותר
undergirded	לתמוך
exorbitant	מוגזם
artifically	באופן מלאכותי
sulk	לזעוף
detemine	לקבוע
animate	להחיות
bid	מכרז 2.הצעה 3.ניסיון 4.לאחל
refund	החזר כספי
alternate	לסירוגין
skyscraper	גורד שחקים
tutelage	חונכות
preserved	נשמר
geneorusly	בנדיבות
onset	ראשית
animosity	איבה
constructed	בנה
pulls off	מצליח
averse	מתנגד
unparalleled	שאין כמוהו
framework	מסגרת
elope	לברוח
adhere to	לדבוק ב
notorious	מפורסם 2.ידוע לשמצה
takes on	לקחת על עצמו
unification	איחוד
eased	הקלה
extension	הרחבה
abhorred	משוקץ
supertitiously	חשאי
sinew	גיד
scent	ריח
grasped	נתפסו
taxation	מיסוי
nourish	להזין
apparent	גלוי לעין
null	לא קיים
aversion	סלידה
ceased	חדל
spice	תבלין
nullify	לבטל
benevolent	נדיב
inimitable	בלתי ניתן לחיקוי
confines	גבולות
interdependencies	תלות הדדית
pelvis	אגן
healed	החלימו
emboided	להמחיש
numerical	מספרי
bewilder	לבלבל
impressionistic	מנסה להעביר רושם במקום לומר דברים מדויקים
allude	לרמוז
asserts	טוענת
unnavigable	אי אפשר לנווט בו
numerous	מרובה
conductive	מועיל 2.מוליך
mulberry	תות
enormity	ענק
literate	יודע קרוא וכתוב
alerts	מתריעה
expatriate	גולה - עזב את מדיניתו וחי באחרת
nurture	לטפח
rectungular	בצורת מלבן
militate	לפעול נגד
mannequins	בובות
precipitate	לזרז
amends	מתקנת
furnace	כבשן
prevalent	נפוץ
adaptable	שניתן להתאימו
conceptualize	להמשיג
jaundice	צהבת
intricacy	מורכבות
contain	להכיל
dissipated	התפוגג
unfathomable	בלתי מובן
hang	תולה
preamble	הקדמה
oral	שקשור לפה 2.בעל פה
bumpy	לא שטוח
transient	זמני
orbit	להסתובב
carried away	כאוטי
upbeat	חיובי
macabre	מבעית
maladjusted	לא מותאם
orphanage	בית יתומים
particle	חלקיק
herein	כאן
impetuously	בפזיזות
kinship	קרבה
pleaded	התחנן
bequest	עיזבון
deficiency	חוסר
outdated	מיושן
cocky	שחצן
commercially	מבחינה מסחרית
ennobling	כיבד
consent	להסכים
marital	זוגיות
outer	חיצוני
fragrance	ניחוח
tamer	מאלף
falsehood	שקר
slouch	הלך בריפיון
cavalier	בצורה מזלזלת
stature	גובה
input	קלט
discernible	ניתן להבחין
union	איחוד
oblige	להכריח
compassionate	רחום
blending	התמזגות
heart-rending	קורע לב
vase	אגרטל
puzzled	תמה
discreet	חשאי
admonished	לנזוף
sacred	קדוש
competent	מוכשר
martial	צבאי
dimension	מידה
artifact	חפץ
squiggly	מתפתל
pollinate	האביק
sentiment	רגש
asystole	אין פעילות חשמלית בלב
diction	הגייה
inevitable	בלתי נמנע
manipulate	הפעיל 2.תימרן
obscene	גס
intermittent	מקוטע
lush	שופע
pored over	לחקור משהו לעומק
credit	אשראי
obtain	להשיג
credible	אמין
incompatible	לא מתאים
masterminding	תיכנן
circulation	מחזור 2. תפוצה
obstruct	להכשיל
curious	סקרן
cavity	מחילה
handicap	מגבלה
noble	אצילי
treacherous	בוגדני
dilation	הרחבה
embezzle	מעילה
secured	הבטיח
vigilant	דרוך
obstruction	מכשול
cyclical	מחזורי
praise	לשבח
cervix	צוואר הרחם
burrow	מאורה
damp	לח
menageries	ביבר
instant	רגע
dearth	מחסור
briefed	להדריך
destabilizing	מערער יציבות
matured	הבשיל
odd	משונה 2.מקרי
daredevil	נועז
coral	אלמוג
travesty	פרודיה
provisions	אספקה
exodus	יציאה המונית
resented	התמרמר
mattress	מזרן
obvious	ברור
expedite	לזרז
subsidies	סבסוד
praised	זוכה לתשבוחות
dearly	ביוקר
far cry	שונה לחלוטין
bankruptcy	פשיטת רגל
starred	כיכב
bush	שיח
oncoming	מתקרב
insular	מבודד
certainty	ודאות
boisterous	רועש 2.נמרץ
graze	לרעות
tribute	הוקרה
fussed	התעסק
restore	להחזיר למצב הקודם
opinionated	עקשן
conciliate	להתפייס
goad	לדרבן
scorch	לצרוב
etched	לחרוט
rebelled	מרד
expend	לבזבז
deformed	מעוות
ostracize	לנדות
brow	מצח
logging	לחטוב (עצים)
amorous	מלא אהבה
expand	להרחיב
opportunism	ניצול כל הזדמנות
degrading	משפיל
consolation	תנחומים
peppermint	מנטה
fabrication	בדייה 2.יצירה
raw	נא
oppressor	עריץ
delicate	עדין
gown	גלימה 2.שמלת ערב
amplification	הגברה
cerebral	מוחי
oak	אלון
rash	פריחה
opt	לבחור
delight	לענג
hymns	פזמונים
conciliatory	לפייס
palsy	שיתוק
patch	טלאי
vision	חיזיון
supervise	לפקח
ordain	להסמיך
velvet	קטיפה (אריג משי)
belligerent	לוחם
supine	שוכב על הגב (פרקדן)
rim	שפה
hue	גוון
reaps	לקצור
windfall	מציאה
entailment	משמעות
fidgeted	לנוע בעצבנות
clasps	לופת
incarceration	כליאה
derailed	ירד מהפסים
cursive	רהוט
pristine	שלא נפגם
asunder	להפריד לקרעים
rod	מוט
paw	כפה של בעל חיים
gaga	קוקו
outcast	מוחרם
devalued	מוערך פחות משוויו האמיתי 2.שערכו ירד
precocity	התקדמות לפני הזמן
opulent	מפואר
soak	השרה
jammed	תקוע
aide	עוזר
penchant	נטייה חזקה
ebullient	משולהב
ensuing	בעקבותיו
deposit	להפקיד
astride	עם רגל אחת מכל צד
distinctly	באופן מובהק
outlook	התבוננות
disgust	סלידה
tepid	פושר
masking	מיסוך (הסתרה באמצעות מסיכה)
sublime	נשגב
malnourished	תת תזונה
toddler	פעוט
disparage	לזלזל
venerating	להוקיר
grueling	מפרך
humanitarian	הומניטרי
outsourcing	העברה של חלק מפעילויות הארגון לביצוע של גופים חיצוניים
inseparable	בלתי נפרד
phrasal	ביטוי
mugged	נשדד באלימות
partisan	מוטה לצד
coveted	נחשק
emanate	נבע
strangling	חונק
dizziness	סחרחורת
assort	למיין
reservoir	מאגר
impassive	אדיש
ephemeral	זמני (זמן קצר)
gnawing	כרסום
amplified	הגביר
clammy	לח ודביק
outwit	להערים על משהו
docile	כנוע
duct	ביב
completion	סיום
frown	זעף
meld	מעורבב
mosaics	פסיפס (יצירת אמנות)
stern	חמור
vestiges	שרידים
overlap	לחפוף
engraved	חרוט
castrated	מסורס
layout	מערך
awe	יראת כבוד
paintbrush	מכחול
chronicle	תיעד
relieve	להרגיע
frosted	מזוגג
overlook	להשקיף אל
revere	להעריץ
crooks	נוכלים
vigil	שמירה
perpetual	נצחי
straying	תעייה
stringent	מחמיר
wan	חיוור
rodents	מכרסמים
mercury	כספית 2. מרקורי
skidded	החליק
patrolled	סיירו
casket	ארון מתים
override	לעקוף סמכות 2.לרמוס
notrazied	אישור
compromise	הקרבה 2.פשרה
cessation	הפסקה
flatulence	גזים במערכת העיכול
pygmy	ננס
tyre	צמיג
decompose	להתכלות
darted	לזנק על משהו
diligently	בחריצות
verbosity	טרחנות
racketeering	סחיטה (פשע)
unscathed	ללא פגע
wade	להשתכשך
deflate	להתרוקן מאווויר
crumpled	מקומט
oversee	להשגיח
embittered	ממורמר
ambidextrous	שמיומן בשתי ידיו לביצוע פעולות
dumping	השלכה
posthumously	לאחר מותו
overtake	להדביק
reproached	נזף
subsiding	שוכך
tariff	תעריף
venues	מקום אירוע
concealed	הסתירו
barrettes	סיכות
reimbursed	החזיר את ההוצאות
communal	עדתי
compliant	עומד בתקן 2.צייתן
autopsy	ניתוח לאחר מוות
circulatory	מחזורי
conscious	מודע
exclusion	הרחקה
tat	לרקום
impersonated	להתחזות
intermittently	לסירוגין
retrieved	החזיר
persuasive	משכנע
muddled	מבולבל
gazed	הביטו
steady	יציב
involve	לערב
fickle	הפכפך
censorship	צנזורה
dicey	קשה
brisk	רענן
swollen	מלא
absorption	קליטה
rather	בהחלט
comatose	חסר הכרה
adulterate	מהל
shambles	בלאגן
grateful	אסיר תודה
penetrate	לחדור
ferocious	פראי
fragmented	מקוטע
converse	לשוחח
pragmatic	מעשי
doomed	הולך להיכשל
cornstarch	עמילן תירס
burdens	משאות
penetration	חדירה
proclamation	הכרזה
deduce	להסיק
inflammatory	מתסיס 2.רפואי - דלקתי
surrogate	תחליף
redistribute	חילק מחדש
pail	דלי
finite	סופי
feasible	בר ביצוע
tube of	צינור של
inured	להתחיל להתרגל למשהו
veiled	מצועף
euthanized	המית בהמתת חסד
stucco	טיח
permit	לאפשר
delegated	האצלה
ovation	תשואות
stipulate	ציין
marbles	גולות
filtered	סינן
forbidding	מאיים
perfected	בוצע בשלמות
refer	להפנות 2.להתייחס
gurney	אלונקת גלגלים (של בית חולים)
mucilage	דבק
submerse	להשקיע משהו במים
dispensed	נתן
sedan	מכונית נוסעים
personnel	סגל
bequeath	להוריש
startlingly	באופן מדהים
inexorable	נחרץ
federated	איחד בפדרציה\באיגוד
annulment	ביטול
frostbite	מכת קור
cornered	נדחק לפינה
forensics	זיהוי פלילי
philanthropy	נדנבנות
fragile	שביר
barge	להידחף
tranquil	שקט
truculent	תוקפני
avenue	שדרה 2.אמצעי
tranished	הוכתם
clover	תלתן
plane	מישור 2.מטוס
dehiscent	התנתקות
extol	הילל
ligature	קשר
entangled	הסתבך
prophetic	נבואי
landslide	מפולת 2. ניצחון ברוב מכריע
sedated	מורדם
preoccupied	מוטרד
cones	קונוסים
press	ללחוץ 2.הדפסה 3.עיתונות
fundamental	יסודי
drawn	משוך
juxtaposed	מונח זה לצד זה
magistrate	שופט שלום
sprout	נבט
chalk	גיר
prestigious	יוקרתי
titular	קיים רק בשם
bohemian	בוהמי
scalpel	אזמל ניתוחים
mobilization	ניוד
pad	לרפד (ריפוד)
galore	בשפע
prior	קודם
moved out	עזב
pastor	כומר
dissidents	מי שמתנגד למשטר
fused	מותך
rode	לרכב
priority	זכות קדימה
heavenly	שמימי או יפה מדהים
capitulate	להיכנע
brought in	הביא
put down	לדכא 2.להניח
retaliate	גמל
suitor	מחזר 2.תובע
trawl	דג בעזרת מכמורת
exceeded	חרג
probable	סביר
humility	צניעות
collaborate	לשתף פעולה
hubbub	המולה (של אנשים) -  רעש
multiple	מרובה
commoner	פשוטי עם
plundered	נשדד
huffily	בצפיפות
procedure	הליך
immature	לא בוגר
discharge	פריקה
ICU	יחידה לרפואה דחופה
hindered	מנע
halter	אפסר
hailing	לקרוא למישהו כדי למשוך את תשומת הלב
holster	נרתיק
confide	לספר סוד 2.לבטוח
notion	רעיון
tarmac	מסלול המראה
passage	מעבר
swoon	להתעלף
redo	עשה מחדש
blockade	מצור
neurosis	הפרעה נפשית
robe	חלוק
Denim	גינס
fanciful	דמיוני
plaid	אריג
windowsill	אדן החלון
fertilizer	דשן
refreshment	כיבוד 1.התרעננות
impassioned	נרגש
fanfare	קול תרועה
disputed	שנוי במחלוקת
camper	חניך
proximity	סמיכות
impatient	קצר רוח
knob	ידית עגולה 2.כפתור סיבובי
besieged	להטיל מצור
kindred	קרוב
deafen	להחריש אוזניים
contrarian	מנוגד
pulse	לדפוק
improbable	לא סביר
worn	נלבש 2.נשחק
rejoice	לשמוח מאוד
remorseful	מלא חרטה
litigious	מתדיינים (בבית משפט)
incontrovertible	בלתי ניתן לערעור
tureen	כלי קיבול למאכלים שמבשלים אותם
pour	שפך
repute	מוניטין
foal	סיח (סוס צעיר)
hyped up	נרגש
loitering	שוטטות
pacify	להרגיע
impure	לא טהור
debate	לדון 2.דיון
democratized	הפיכת משהו לנגיש
sacredness	קדושה
casualties	נפגעים
pup	בעל חיים צעיר
uproot	לעקור מן השורש
livid	כחול- אפור 2. מרוגז
pacifier	מוצץ  2.דבר מרגיע
incompetent	לא מוכשר
conspirator	קושר
drizzle	זרזיף
panting	מתנשף
metamorphosis	שינוי צורה
Thawing	הפשרה
scarlet	אדום
rescind	ביטל את התוקף
stencil	שבלונה
painstaking	מדוקדק
inconsolable	שלא ניתן לנחמו
educator	מחנך
put out	לכבות 2.לגרום לאי נוחות
fabled	מפורסם מאוד 2.אגדי
relentless	חסר רחמים
frosty	קריר
irked	עיצבן
inconvenient	לא נוח
valiant	אמיץ
withheld	להשהות
pained	כואב (נמצא במצב כזה)
masse	המוני
paramount	עליון
inert	אדיש
venerated	העריץ
poacher	צייד לא חוקי
treatise	חיבור
hare	ארנבת
acrimonious	כועס
cagey	מופנם
partake	להשתתף
conflicted	מתנגד 2.מסוכסך
variegated	ססגוני
reintroduce	להציג מחדש
readmitted	התקבל מחדש
plaudit	תשואות
brusquely	בגסות
inhospitable	לא מסביר פנים
aggravated	הכעיס
acumen	חוכמה
expropriated	הופקע (מרכוש פרטי לציבורי)
reel	סליל
suboccipital	תת - עורפי
accommodations	מגורים
toga	טוגה
ambiguity	דו משמעות
bristle	שיער או סיב 2. לכעוס
bulging	בולט
pastime	בילוי
rivulet	נחל קטן
occipital	עורפי (עורף)
compression	דחיסה
starkly	באופן בוטה
blackout	הפסקת חשמל
twicthy	חסר מנוחה
insolent	חצוף
polarity	קוטביות
recited	דיקלם
broadband	בעל טווח תדרים רחב
rapture	התלהבות
prose	פרוזה
arrayed	ערוך
perfect	לשכלל 2.מושלם
impressionable	ניתן להשפיע
compromising	התפשרות
urgency	דחיפות
mishap	תאונה
shush	השקיט
incinerate	שרף
callus	יבלת
patronize	להתנשא
intriguing	מסקרן
perceived	נתפס
cradling	עריסה
biodiversity	מגוון ביולוגי
whoop	צעקה
condos	בית משותף
abrasion	שחיקה
introspection	התבוננות פנימית
transparent	שקוף
revised	מתוקן
camaraderie	חברות אמת
profanity	ניבולי פה
womb	רחם
glib	קל לשון
rust	חלודה
intercept	לעכב
palate	חך (החלק העליון בפה)
exhortation	דברי תוכחה
millennia	אלפי שנים
irresistible	שלא ניתן לעמוד בפניו
blissful	מאושר
apatheic	אדיש
thwarted	להכשיל
tidal	גאות ושפל (עליה וירידה)
Passersby	עוברי אורח
inclusion	הכללה
peculiarly	מוזרות
sorted	ממוין
waddle	הילוך מתנודד
cloven-hoofed	פרסה שסועה
berserk	משתולל כמו מטורף
peddle	למכור
laden	עמוס
segregated	מובדל
derail	להוריד מהפסים
magnitude	גודל
bedridden	מרותק למיטה
lay off	פיטר
netting	רשת חוטים
diffidence	ביישנות
lavish	בזבזני
detestable	מתועב
belittle	לזלזל בערך
constrained	מוגבל
cane	מקל
tampering	התערב
liability	חוב
misusing	שימוש לרעה
palpitate	פועם במהירות
prospects	סיכויים
testify	להעיד
stress	לחץ
thereby	על ידי כך
carriageways	כבישים
subsist	להתקיים
penalty	עונש
vehemently	בלהט
coaster	תחתית
narration	קריינות
quadrant	רביע
frightful	מפחיד
pending	בציפייה ל
madly	בטירוף
exulting	צוהל
roller coaster	רכבת הרים
spine-chilling	מצמרר בעמוד השדרה
punctuality	דיוק
malodorous	מסריח
astray	שולל
quartile	ריבעון
exhorted	שכנע
maturity	בגרות
deformity	מום
hastened	זירז
due	צפוי
despair of	ייאוש מ
angst	חרדה
Allegedly	לכאורה
abacus	חשבונייה
infamous	ידוע לשמצה
peril	לסכן
strove	השתדל
torment	סבל
partition	חלוקה
incinerated	שרף
longitude	קו אורך
mounds	ערימות
fatalities	הרוגים
papacy	אפיפיוריות (נצרות)
bleaching	הלבנה
sachet	שקית פלסטיק
periodic	מחזורי
debilitated	מוחלש
infidel	כופר
stroll	טייל
monumental	כביר
eligible	זכאי
exotic	אקזוטי
secretion	הפרשה
reignited	הצית מחדש
triumvirate	שלטון משותף של 3 מנהיגים
walkout	שביתה
elongate	להאריך
tension	מתח
adamant	נחוש
extradite	הסגיר (למדינה אחרת)
bayonet	כידון
dupe	רימה
fraudulent	מרמה
maim	הטיל מום
nerve-wracking	מורט עצבים
posterity	צאצאים
disorienting	מבלבל
airlifted	הטיס ברכבת אוויר
perplexed	להביך
appall	לזעזע
embellish	לקשט
wreath	זר
dawned on	הגעתי להבנה (נפל האסימון)
cogitate	להרהר
scourge	פגע
incarnation	התגלמות
corrosive	מאכל
downward	כלפי מטה
restorer	משחזר
justification	הצדקה
extraterrestrial	חוצני
dote upon	להרעיף תשומת לב ואהבה
postpone	לדחות
perseverance	התמדה
plantation	מטע
duet	יצירה שמובצעת על ידי 2 אנשים
yoke	עול
dismal	מדכא
enthuse	לדבר בהתלהבות על
deceitful	ערמומי
embroidery	רקמה
fared no better	לא היה טוב יותר
chords	אקורדים
tuberculosis	שחפת
pendant	תיליון
quench	להרוות (צמא) 2. לכבות (אש)
sculpture	פסל
pervade	להתפשט
demeaning	משפיל
emit	להוציא
tight	צמוד
itch	לגרד
papal	אפיפיור
gale	סופה
pervasive	שמסוגל להתפשט/לחדור
empirical	אמפירי
dispatch	לשלוח
festive	חגיגי
tenfold	פי עשרה
gossamer	קורי עכביש
petrol	דלק
judicious	נבון
wield	משתמש 2.מניף
compensation	פיצוי
deployable	ניתן לפריסה
preception	תפיסה
preserve	לשמר
enclose	להקיף
doused	מכוסה
undaunted	עשוי ללא חת
tow	גרר
acrimony	כעס
pit	בור 2.חרצן
enclosed	מוקף
reforestation	ייעור מחדש
flapping	לנפנפף
spasms	עוויתות
accustom	להרגיל
pity	לרחם
encode	להצפין
ingested	נבלע
bargaining	להתמקח
recede	נסוג 2. התפוגג
lieutenant	סגן
surmount	להתגבר על
inimical	עוין
womaniser	רודף שמלות
ingress	כניסה
plague	להטריד
encryption	קידוד
earnestly	ברצינות
impasse	מבוי סתום
relapse	משהו רע חוזר (מחלה כלשהי)
misconduct	התנהגות בלתי הולמת
trellis	סורג
derived	נגזר מ
riddled with	רווי
odious	שנוא
requite	להחזיר טובה
cumbersome	מסורבל
disintegrated	התפרק
exult	לעלוז
conundrum	חידה
hubris	בעל ביטחון עצמי מופרז
maneuvered	תימרן
dash	ריסק
rub	לשפשף 2.בעיה 3.חיכוך
complimenting	מחמיא
freight	מטען
burgeoning	נביטה
plausible	אפשרי
emerged	התגלה
engage	להעסיק 2.להיות מעורב בעימות 3.להתארס
nullified	בוטל
inane	טיפשי
derailment	ירידה מהפסים
greif - stricken	מוכה צער
possessive	קנאי
engrave	לחרוט
onward	קדימה
vacuous	ריקני
sojourn	ביקור
precautions	אמצעי זהירות
choleric	חם מזג (מתעצבן בקלות)
pledge	להבטיח
ensue	לנבוע (ממשהו אחר)
sanctioned	לאשר
usurpers	תופסי שלטון בכוח
clairvoyance	תפיסה על טבעית
sanctify	לקדש
ceaseless	ללא הפסק
entail	להצריך 2.ירושה
vying	מתחרה
arbiter	פוסק
monetization	הפיכת משאב לכסף
pique	טינה
plow	לחרוש
entreat	להפציר
assimilated	נטמע
dint	עוצמה
tarnished	מוכתם
thunderstruck	המום
inchoate	ראשוני
proclaimed	מוצהר
by dint of	בזכות\באמצעות מאמץ רב
renowned	בעל שם
dismantle	לפרק
desperation	ייאוש
equity	הון כלכלי 2.יושר
euphoric	אופורייה
fruition	הגשמה
petrify	איבן
crotchety	זעפני
abolition	ביטול
suds	קצף סבון
penetrating	חודר
populace	תושבים
veered	סטה
clamoring	צעקני
pitifully	באופן מעורר רחמים
POW	שבוי מלחמה
notoriously	ידוע לשמצה
ligaments	רצועות (בעצמות)
drip	טפטוף
dismissed	מפוטר
approximately	בהערכה
evade	להתחמק
anticipated	צפוי
perceptual	תחושתי
transpired	התרחש
jokingly	בצחוק
restrictions	הגבלות
sweltering	לוהט
starves	מרעיב
reptilian	זוחל
bump	מכה
combustible	דליק
acclimatize	הסתגל
frustrate	לתסכל
suede	זמש (עור מעובד בעל מרקם רך)
palatable	טעים 2.קביל
traversed	לחצות
clash	התנגש
exert	להפעיל
shunning	להתרחק
urea	שתנן
thought-provoking	מעורר מחשבה
culpability	אשמה
enchanted	קסום
premature	מוקדם מדי
rekindled	ניצת מחדש
invitro	חוץ גופני
abdicating	מוותר
disclosing	לחשוף
pediatrics	רפואת ילדים
embroiled	סבוך
premise	הנחת יסוד
existence	קיום
coos	המייה
mended	תיקן
biomes	חברה אקולוגית
dejected	מדוכא
opaque	אטום
dove	יונה
uprising	התקקוממות
distorted	מעוות
expectancy	תקווה
refusal	סירוב
progeny	צאצאים
rowdy	רעשני
outgoing	חברותי
servant	משרת
impelled	מדרבן
understaffed	מחסור בכוח אדם
fidgeting	להתנועע בעצבנות או בלחץ
clenched	סגור
outpost	מאחז 2.יישוב מרוחק
rabid	כלבת 2.קנאי
implemented	מיושם
shudder	רעד
overbearing	שתטלני
expel	לגרש
attached	מצורף
ploy	תחבולה
crackdown	נקיטת אמצעים
don	לבש
explicate	לבאר
watershed	קו פרשת מים 2.נקודת מפנה
subjugated	מדוכא
bouts	התקף
scrutinise	בחן
lounge	התבטל
confided	התוודה
comparable	ניתן להשוואה
proficient	מומחה
pamper	לפנק
coerce	לאלץ
muffle	לעמעם
encrypt	קודד
auspicious	מבשר טובות
lashed	הלקה
stumbled	מעד
paralyse	לשתק
append	להוסיף
grisly	איום
beet	סלק
paralysis	שיתוק
biddable	צייתן
output	תפוקה
spelling	איות
proper	הולם
archipelago	ארכיפלג
thwart	להכשיל
amply	בשפע
compressed	דחוס
prosper	להצליח
personify	להאניש (תכונות אנושיות לחיות או חפצים)
arsonist	מצית (אדם שמצבע הצתה)
connote	מרמז
abyss	תהום
setback	מכשול
skirmishing	האבקות
jubilee	יובל
glimmered	נוצץ
medium	אמצעי 2. סביבה
demonym	תיאור של קבוצה
femicide	רצח נשים
fabricate	להמציא
distinction	הבחנה
spiraled	הסתחרר 2.הדרדר
ambulate	ללכת
byproduct	מוצר (תוצר) לוואי
bestows	להעניק
exemption	פטור
pictorial	מאויר 2.מצולם
facet	היבט
likewise	כך גם
undecipherable	בלתי ניתן לפענוח\פיצוח
dynamism	דינמי
degrade	פגם
Archery	קשתות
eroding	שחק
rebuff	דחייה
vein	כלי דם 2. מצב רוח
Fencing	סיוף (סייף)
recline	להישען
porous	נקבובי
swath	אלומה
muddle	בלבל
hectares	עשרה דונמים
distributor	מפיץ
tongs	מצבטים
scrutinize	לבדוק
quarter	רבע
far flung	מתפרס
ostensibly	לכאורה
finitude	סופיות
vegetation	צמחיה
cockpit	תא טייס
jaw-dropping	מפתיע
questionable	מוטל בספק
far out	לא מקובל
blow by	לעקוף
buckled	קרס
retorted	השיב
look out	להשגיח
averted	למנוע ממשהו להתרחש 2.להסיט מבט
snug	נעים
firebreaks	מונע אש
stirring	ערבוב
reprisal	פעולת תגמול
abnormalities	חריגות
angler	דייג
secretary	מזכירה
queer	חשוד
fertilize	להפרות 2.דשן
disabling	השבתה
torso	טורסו
pinkie	זרת
logjam	מבוי סתום (סיטואציה) 2.חסימה
arch	קשת 2. קימר
swerved	סטה
inscribe	לרשום
abort	לבטל
queue	לעמוד בתור
pungent	חריף
fidelity	נאמנות
bravado	רהבתנות
forecaster	חזאי
leapt	זינק
abstract	לא מוחשי
fixate	לקבע
coalesced	התמזגו
resenting	מתרעם
charcoal	פחם
glum	עגמומי
accentuate	להדגיש
receptive	פתוח לרעיונות חדשים
frantically	בטירוף
cooing	לדבר בצורה נעימה ואוהבת
hooked into	להתחבר למשהו
emblazoned	קישט
scoff	ללעוג
acid	חומצה
radiation	קרינה
fledgling	ציפור שזה עתה למדה לעוף 2.חסר ניסיון
unravel	להיפרם 2.לפענח
insistent	מתעקש
inapplicable	לא ישים
refined	מעודן
rupture	נקרע
despotism	רודנות
spurred	דירבן
alienate	להרחיק
phyrrhic	ניצחון פרוס (ניצחון שהושג במחיר כבד)
confiscated	מוחרם
glower	להביט בכעס
irk	להרגיז
lenience	סלחנות
tuft	ציצית
remorse	חרטה
flutter	לרפרף
fait	עובדה מוגמרת
frayed	מרופט
askew	באלכסון
dominant	דומנינטי
inherently	מיסודו
handicraft	מלאכת יד
miser	קמצן
refrigerate	לצנן
reproaching	מאשים 2.נזוף
obey	לציית
accomplie	מוגמר
alert	ערני 2.אזעקה 3.לעורר
palliative	מרגיע
relics	שרדים
detachment	ניתוק
worked up	נרגש
refuge	לתפוס מחסה
repress	להדחיק
bleak	חשוף 2.עגום
rosebuds	ורד טרום פריחתו
submerged	השקיע
annually	מדי שנה
crossfire	אש צולבת
contingent upon	מותנה ב
appetizer	מתאבן
perishable	מתקלקל במהרה
faced	מתמודד עם
careworn	מודאג ׁׁ(רואים בהבעות פנים)
reputed	מוערך כבעל מוניטין
mutter	מלמול
ratification	אישור
apprehensive	דואג
forfeit	להפסיד
ingrained	משורש
infatuated	מאוהב
resemble	דומה
inherited	עבר בירושה
ridge	רכס
resemblance	דמיון
fragment	שבריר
stalemate	מבוי סתום
coniferous	עצים מחטניים
unruly	פרוע
wardrobe	ארון בגדים
telltale	רכלן
dampness	לחות
impractical	לא מעשי
everlasting	ניצחי
nanny	אומנת
equinox	נקודות שיווי
uplifted	במצב רוח מרומם
hodgepodge	ערבוביה
aggregate	צבר
glacial	קרחוני
nettle	להקניט
slender	רזה
genus	סוג
carafe	קנקן
zealous	קנאי
chaperone	מלווה
icicle	נטיף קרח
slothful	עצל
lurch	תנודה
rendition	פרשנות 2.הסגרה למדינה אחרת 3.הופעה
tight lipped	שתקן
auction	מכרז
smug	זחוח
offshoot	שלוחה
arduous	מפרך
irrepressible	בלתי ניתן לריסון
bruising	חבלה
shoving	דחף
configure	עיצב
lugubrious	נוגה
riches	עושר
sporadic	לא סדיר
aegis	חסות
etches	חרט
roll	לגלגל 2.לצלם 3.לחמניה 4.רשימה
upsurge	פרץ
sanguine	אופטימי
drew	צייר 2.משך
reinforce	חיזק
rotate	רוטציה
goblet	גביע
infectious	מדבק
parvensu	עשיר חדש (לאחרונה זכה בעושר)
booed	קרא קריאות בוז
refinerie	בית זיקוק
abduct	לחטוף (מישהו)
rubbish	אשפה
grid	רשת
redux	מוחזר
initiative	יוזמה
tenth	עשירית
underpin	תמך מלמטה מבלי לפגוע במבנה
deadbeat	בטלן
racket	רקטה 2.המולה
strapped	קשור
ionizing	מיינן
quip	עקיצה (בדיבור)
abstention	המנעות
raid	פשיטה
factious	גורם לפילוג
poundage	משקל כולל
solidfication	התמצקות
tally	ספירה של משהו
binge	בולמוס
exultant	שמח כתוצאה מניצחון או הישג
coterie	כת
Reception	קבלת פנים
ion	יון
phosphorescent	זרחני
seeped	חלחל פנימה
quintessential	טיפוסי
citing	ציטט
ruminative	מהרהר
blackened	מושחר
dissertation	עבודת גמר
thence	משם
chanting	זימר
ebb	פחת
canister	קופסה
abstain	להימנע
thoughtlessly	בפזיזות
defer	לדחות
deferral	דחייה
girth	היקף של משהו
glossy	מבריק 2.חלק
constrain	אילוץ
coax	פיתה
tight-knit	מלוכד
edifice	מבנה
stout	איתן
slew	כמות גדולה 2. לסובב על ציר
swarm	נחיל
envelop	לעטוף
tightly	במהודק
universally	באופן אוניברסאלי
sippy	כוס עם פייה (לילד)
timidity	ביישנות
bog	ביצה
foraging	חיפוש מזון
torn	קרוע
feebly	בחולשה
tamp	לדחוס
stutter	גמגום
wholeheartedly	בלב שלם
flora and fauna	החי והצומח
